"__time","order_id","user_id","user_name","user_email","gender","age","session_id","login_time","logout_time","last_active","search_log_id","search_query","searched_at","review_id","review_product_id","rating","review_time","cart_id","cart_product_id","cart_quantity","cart_log_id","cart_event_type","cart_event_time"
"2025-05-31T11:33:00.000Z","d6fe13ba-f826-464d-8b97-744101045c00","user_846072","TestUser_user_846072","user_846072@example.com","F","43","46762910-4ad4-46b4-b422-05539435a912","1748691229000000","null","1748691233000000","null","null","null","null","null","null","null","null","null","null","1","ADDED","1748691231000"
"2025-05-31T11:33:00.000Z","d6fe13ba-f826-464d-8b97-744101045c00","user_846072","TestUser_user_846072","user_846072@example.com","F","43","46762910-4ad4-46b4-b422-05539435a912","1748691229000000","null","1748691233000000","null","null","null","null","null","null","null","null","null","null","2","CHECKED_OUT","1748691232000"
"2025-05-31T11:34:00.000Z","579763c8-59ac-44ba-8b1d-d6ca8e6e3cec","user_1eb324","null","null","null","null","fc11e9dd-96e5-4e4e-8084-c32e5a4a9e11","1748691270000000","1748691292000000","1748691292143917","5","cofee","1748691265000","null","null","null","null","null","null","null","4","ADDED","1748691271000"
"2025-05-31T11:34:00.000Z","579763c8-59ac-44ba-8b1d-d6ca8e6e3cec","user_1eb324","null","null","null","null","fc11e9dd-96e5-4e4e-8084-c32e5a4a9e11","1748691270000000","1748691292000000","1748691292143917","5","cofee","1748691265000","null","null","null","null","null","null","null","5","UPDATED","1748691277000"
"2025-05-31T11:34:00.000Z","579763c8-59ac-44ba-8b1d-d6ca8e6e3cec","user_1eb324","null","null","null","null","fc11e9dd-96e5-4e4e-8084-c32e5a4a9e11","1748691270000000","1748691292000000","1748691292143917","5","cofee","1748691265000","null","null","null","null","null","null","null","6","CHECKED_OUT","1748691283000"
"2025-05-31T11:34:00.000Z","579763c8-59ac-44ba-8b1d-d6ca8e6e3cec","user_1eb324","null","null","null","null","fc11e9dd-96e5-4e4e-8084-c32e5a4a9e11","1748691270000000","1748691292000000","1748691292143917","5","cofee","1748691265000","null","null","null","null","null","null","null","7","ADDED","1748691286000"
"2025-05-31T11:34:00.000Z","579763c8-59ac-44ba-8b1d-d6ca8e6e3cec","user_1eb324","null","null","null","null","fc11e9dd-96e5-4e4e-8084-c32e5a4a9e11","1748691270000000","1748691292000000","1748691292143917","5","cofee","1748691265000","null","null","null","null","null","null","null","8","ADDED","1748691290000"
"2025-05-31T11:34:00.000Z","579763c8-59ac-44ba-8b1d-d6ca8e6e3cec","user_1eb324","null","null","null","null","fc11e9dd-96e5-4e4e-8084-c32e5a4a9e11","1748691270000000","1748691292000000","1748691292143917","6","labtop","1748691268000","null","null","null","null","null","null","null","4","ADDED","1748691271000"
"2025-05-31T11:34:00.000Z","579763c8-59ac-44ba-8b1d-d6ca8e6e3cec","user_1eb324","null","null","null","null","fc11e9dd-96e5-4e4e-8084-c32e5a4a9e11","1748691270000000","1748691292000000","1748691292143917","6","labtop","1748691268000","null","null","null","null","null","null","null","5","UPDATED","1748691277000"
"2025-05-31T11:34:00.000Z","579763c8-59ac-44ba-8b1d-d6ca8e6e3cec","user_1eb324","null","null","null","null","fc11e9dd-96e5-4e4e-8084-c32e5a4a9e11","1748691270000000","1748691292000000","1748691292143917","6","labtop","1748691268000","null","null","null","null","null","null","null","6","CHECKED_OUT","1748691283000"
"2025-05-31T11:34:00.000Z","579763c8-59ac-44ba-8b1d-d6ca8e6e3cec","user_1eb324","null","null","null","null","fc11e9dd-96e5-4e4e-8084-c32e5a4a9e11","1748691270000000","1748691292000000","1748691292143917","6","labtop","1748691268000","null","null","null","null","null","null","null","7","ADDED","1748691286000"
"2025-05-31T11:34:00.000Z","579763c8-59ac-44ba-8b1d-d6ca8e6e3cec","user_1eb324","null","null","null","null","fc11e9dd-96e5-4e4e-8084-c32e5a4a9e11","1748691270000000","1748691292000000","1748691292143917","6","labtop","1748691268000","null","null","null","null","null","null","null","8","ADDED","1748691290000"
"2025-05-31T11:35:00.000Z","4559183f-93ca-4cc9-9577-59739cb469b5","user_0518d0","TestUser_user_0518d0","user_0518d0@example.com","M","55","416699cb-e27d-4ab4-be14-322226855c23","1748691337000000","null","1748691342000000","null","null","null","492a67e4-85c1-4404-98c6-2df6c6f93543","114","3","1748691342000000","null","null","null","10","ADDED","1748691338000"
